Note,Frequency(Hz),Wavelength(cm)
C0,16.35,2109.89
C#0,17.32,1991.47
Db0,17.32,1991.47
D0,18.35,1879.69
D#0,19.45,1774.20
Eb0,19.45,1774.20
E0,20.60,1674.62
F0,21.83,1580.63
F#0,23.12,1491.91
Gb0,23.12,1491.91
G0,24.50,1408.18
G#0,25.96,1329.14
Ab0,25.96,1329.14
A0,27.50,1254.55
A#0,29.14,1184.13
Bb0,29.14,1184.13
B0,30.87,1117.67
C1,32.70,1054.94
C#1,34.65,995.73
Db1,34.65,995.73
D1,36.71,939.85
D#1,38.89,887.10
Eb1,38.89,887.10
E1,41.20,837.31
F1,43.65,790.31
F#1,46.25,745.96
Gb1,46.25,745.96
G1,49.00,704.09
G#1,51.91,664.57
Ab1,51.91,664.57
A1,55.00,627.27
A#1,58.27,592.07
Bb1,58.27,592.07
B1,61.74,558.84
C2,65.41,527.47
C#2,69.30,497.87
Db2,69.30,497.87
D2,73.42,469.92
D#2,77.78,443.55
Eb2,77.78,443.55
E2,82.41,418.65
F2,87.31,395.16
F#2,92.50,372.98
Gb2,92.50,372.98
G2,98.00,352.04
G#2,103.83,332.29
Ab2,103.83,332.29
A2,110.00,313.64
A#2,116.54,296.03
Bb2,116.54,296.03
B2,123.47,279.42
C3,130.81,263.74
C#3,138.59,248.93
Db3,138.59,248.93
D3,146.83,234.96
D#3,155.56,221.77
Eb3,155.56,221.77
E3,164.81,209.33
F3,174.61,197.58
F#3,185.00,186.49
Gb3,185.00,186.49
G3,196.00,176.02
G#3,207.65,166.14
Ab3,207.65,166.14
A3,220.00,156.82
A#3,233.08,148.02
Bb3,233.08,148.02
B3,246.94,139.71
C4,261.63,131.87
C#4,277.18,124.47
Db4,277.18,124.47
D4,293.66,117.48
D#4,311.13,110.89
Eb4,311.13,110.89
E4,329.63,104.66
F4,349.23,98.79
F#4,369.99,93.24
Gb4,369.99,93.24
G4,392.00,88.01
G#4,415.30,83.07
Ab4,415.30,83.07
A4,440.00,78.41